,id,name,state,latitude,longitude,source,dayduration,age,total_spent_Doohickey,total_spent_Gadget,total_spent_Gizmo,total_spent_Widget,total_orders,discount_usage_proportion,email_provider
0,1,Hudson Borer,NE,40.7132,-98.526,Twitter,2684,38,189.5193,389.53549999999996,221.8629,1719.2326,11.0,0.2727272727272727,yahoo
1,2,Domenica Williamson,IA,41.5813,-92.6991,Affiliate,2500,57,,,,,,,yahoo
2,3,Lina Heaney,MN,46.1197,-92.8416,Facebook,2786,63,896.4755,126.91,695.0698,510.85540000000003,10.0,0.2,yahoo
3,4,Arnold Adams,CO,37.9203,-104.973,Google,2182,32,149.891,0.0,214.78970000000004,150.5928,4.0,0.25,gmail
4,5,Dominique Leffler,NY,42.349,-77.0567,Twitter,2716,50,0.0,0.0,332.208,0.0,1.0,0.0,hotmail
5,6,Rene Muller,LA,30.1515,-92.4862,Google,3064,41,215.3479,350.4764,0.0,50.1976,4.0,0.25,gmail
6,7,Roselyn Bosco,MS,31.2341,-88.5857,Facebook,2455,28,436.14750000000004,1186.8655,1094.7054,0.0,12.0,0.08333333333333333,hotmail
7,8,Aracely Jenkins,KS,37.4347,-94.6427,Facebook,2734,51,788.1284,882.7382000000001,154.6856,563.634,9.0,0.0,gmail
8,9,Anais Ward,IA,42.2979,-95.4674,Twitter,2313,25,0.0,148.6077,83.2338,0.0,2.0,0.0,gmail
9,10,Tressa White,OH,40.8007,-83.2838,Google,2371,56,147.58599999999998,476.4076,797.8199999999999,614.2712,14.0,0.21428571428571427,yahoo
10,11,Lolita Schaefer,IA,42.1394,-93.9824,Facebook,2521,42,,,,,,,hotmail
11,12,Ciara Larson,SD,44.9564,-97.2287,Facebook,2421,42,126.91,0.0,1358.2078000000001,283.3255,8.0,0.125,hotmail
12,13,Mustafa Thiel,CA,33.0817,-116.662,Facebook,2700,61,,,,,,,hotmail
13,14,Lavonne Senger,CA,39.6486,-121.934,Facebook,2431,61,,,,,,,yahoo
14,15,Bertrand Romaguera,AR,35.108,-92.0102,Twitter,2245,24,246.1716,403.24580000000003,274.0843,373.0512,6.0,0.16666666666666666,gmail
15,16,Khalid Pouros,AL,32.7043,-87.5414,Google,3195,63,545.5245,0.0,705.6437000000001,679.6302,9.0,0.1111111111111111,yahoo
16,17,Lora Cronin,OR,42.5049,-124.188,Organic,2900,34,117.17399999999999,1235.1378,1650.4260000000002,2401.4506,24.0,0.041666666666666664,gmail
17,18,Arely Pollich,OR,45.5549,-122.528,Affiliate,2849,34,0.0,2238.3258,156.3413,578.7945000000001,10.0,0.1,yahoo
18,19,Wyman Kertzmann,OR,42.3223,-123.324,Affiliate,2262,49,0.0,0.0,395.1128,184.4112,2.0,0.5,gmail
19,20,John Aufderhar,IA,41.467,-95.1012,Affiliate,2314,33,148.43959999999998,0.0,1175.1894,261.1638,8.0,0.25,yahoo
20,21,Angela Botsford,NE,40.9765,-98.1325,Twitter,2806,25,443.9508,0.0,302.72659999999996,228.1775,6.0,0.0,hotmail
21,22,Jeromy Smith,CA,38.5063,-122.188,Twitter,2692,57,184.891,220.81,238.05010000000001,1246.94,12.0,0.08333333333333333,yahoo
22,23,Candida Kiehn,GA,33.0855,-81.6764,Facebook,2858,53,155.82389999999998,135.3508,275.2377,451.2567,8.0,0.0,yahoo
23,24,Nya Weber,MN,47.1795,-93.6321,Facebook,2208,53,222.8093,666.9622,659.8493000000001,654.0165,10.0,0.2,gmail
24,25,Araceli Stiedemann,AR,36.048,-94.2027,Twitter,3101,45,,,,,,,yahoo
25,26,Dagmar Fay,NV,41.4721,-118.346,Organic,3053,62,,,,,,,gmail
26,27,Kyler Abshire,OH,41.1279,-83.536,Organic,2869,35,,,,,,,yahoo
27,28,Keon Cartwright,MS,34.4326,-88.5703,Affiliate,2839,33,,,,,,,hotmail
28,29,Broderick Lockman,OH,39.6955,-82.5027,Facebook,2206,34,0.0,517.6544,303.7734,447.27869999999996,6.0,0.3333333333333333,gmail
29,30,Desiree Walsh,AR,34.3125,-91.2082,Affiliate,2986,36,0.0,267.026,0.0,327.501,2.0,0.0,gmail
30,31,Cleora Hilll,MN,43.8069,-91.636,Affiliate,2139,29,,,,,,,hotmail
31,32,Jayden Hamill,CO,37.9478,-104.878,Google,2543,57,0.0,671.0016,54.5842,863.2524999999999,6.0,0.0,gmail
32,33,Alphonso Quigley,CO,40.3373,-106.798,Affiliate,2371,27,0.0,66.7932,0.0,250.8912,2.0,0.0,yahoo
33,34,Emilie Goyette,VA,38.6569,-77.9759,Organic,2221,58,1297.5313,238.5978,42.849,377.9041,9.0,0.3333333333333333,yahoo
34,35,Chelsey Schuppe,WI,42.5617,-88.6775,Twitter,2258,40,0.0,552.9624,591.966,0.0,5.0,0.0,hotmail
35,36,Kaley Ziemann,KS,38.6232,-98.8225,Organic,2678,57,1119.2658000000001,0.0,244.3012,539.4111,9.0,0.0,yahoo
36,37,Jaleel Collins,AZ,32.3736,-111.037,Facebook,2928,46,847.2586000000001,1172.7857999999999,825.0818999999999,466.7858,15.0,0.06666666666666667,gmail
37,38,Cecilia Stark,WV,38.4921,-82.0003,Facebook,3003,43,112.1022,168.9789,163.7526,609.8394,5.0,0.2,hotmail
38,39,Andreanne Hills,MN,43.9393,-96.1593,Organic,2507,36,248.5086,448.8741,166.4676,207.3516,8.0,0.125,yahoo
39,40,Elyssa Wolf,TX,29.9959,-97.559,Google,2899,46,1295.5448999999999,2333.8118,1716.7501000000002,732.8164999999999,25.0,0.08,hotmail
