id,name,email,city,state,zip,birth_date,latitude,longitude,source,dayduration,age
1,Hudson Borer,borer-hudson@yahoo.com,Wood River,NE,68883,1986-12-12,40.7132,-98.526,Twitter,2681,38
2,Domenica Williamson,williamson-domenica@yahoo.com,Searsboro,IA,50242,1967-06-10,41.5813,-92.6991,Affiliate,2497,57
3,Lina Heaney,lina.heaney@yahoo.com,Sandstone,MN,55072,1961-12-18,46.1197,-92.8416,Facebook,2783,63
4,Arnold Adams,adams.arnold@gmail.com,Rye,CO,81069,1992-08-12,37.9203,-104.973,Google,2179,32
5,Dominique Leffler,leffler.dominique@hotmail.com,Beaver Dams,NY,14812,1974-04-20,42.349,-77.0567,Twitter,2713,50
6,Rene Muller,rene.muller@gmail.com,Morse,LA,70559,1983-03-27,30.1515,-92.4862,Google,3061,41
7,Roselyn Bosco,bosco.roselyn@hotmail.com,Leakesville,MS,39451,1996-01-19,31.2341,-88.5857,Facebook,2452,28
8,Aracely Jenkins,aracely.jenkins@gmail.com,Pittsburg,KS,66762,1973-06-05,37.4347,-94.6427,Facebook,2731,51
9,Anais Ward,ward.anais@gmail.com,Ida Grove,IA,51445,1999-10-16,42.2979,-95.4674,Twitter,2310,25
10,Tressa White,white.tressa@yahoo.com,Upper Sandusky,OH,43351,1968-01-13,40.8007,-83.2838,Google,2368,56
11,Lolita Schaefer,schaefer-lolita@hotmail.com,Pilot Mound,IA,50223,1982-08-20,42.1394,-93.9824,Facebook,2518,42
12,Ciara Larson,ciara-larson@hotmail.com,Florence,SD,57235,1982-12-16,44.9564,-97.2287,Facebook,2418,42
13,Mustafa Thiel,mustafa.thiel@hotmail.com,Santa Ysabel,CA,92070,1963-07-20,33.0817,-116.662,Facebook,2697,61
14,Lavonne Senger,senger.lavonne@yahoo.com,Chico,CA,95928,1963-09-22,39.6486,-121.934,Facebook,2428,61
15,Bertrand Romaguera,romaguera.bertrand@gmail.com,El Paso,AR,72045,2000-02-14,35.108,-92.0102,Twitter,2242,24
16,Khalid Pouros,khalid-pouros@yahoo.com,Greensboro,AL,36744,1961-09-16,32.7043,-87.5414,Google,3192,63
17,Lora Cronin,lora-cronin@gmail.com,Gold Beach,OR,97444,1990-02-16,42.5049,-124.188,Organic,2897,34
18,Arely Pollich,pollich-arely@yahoo.com,Portland,OR,97230,1990-06-27,45.5549,-122.528,Affiliate,2846,34
19,Wyman Kertzmann,wyman-kertzmann@gmail.com,Grants Pass,OR,97527,1975-07-23,42.3223,-123.324,Affiliate,2259,49
20,John Aufderhar,aufderhar.john@yahoo.com,Marne,IA,51552,1991-10-26,41.467,-95.1012,Affiliate,2311,33
21,Angela Botsford,angela-botsford@hotmail.com,Phillips,NE,68865,1999-07-17,40.9765,-98.1325,Twitter,2803,25
22,Jeromy Smith,jeromy.smith@yahoo.com,Napa,CA,94558,1967-02-16,38.5063,-122.188,Twitter,2689,57
23,Candida Kiehn,kiehn-candida@yahoo.com,Girard,GA,30426,1971-08-06,33.0855,-81.6764,Facebook,2855,53
